"Image","사용자","게시날짜","게시한 글","기업","답변날짜","답변 내용"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","Google 사용자","2020년 1월 24일","패스오더는 더 널리 알려져야해용☺ 나만 알기 아까웡ㅜㅜㅜ 앞으로 더 응원할게요ㅎㅎㅎ 올해는 패스오더의 해가 되길 바랍니당~~~ 시간절약 쵝오!♡♡♡스피드 짱♡♡♡","PaytaLab","2020년 1월 28일","안녕하세요 복이 패써님 
편리한 주문결제 ""패스오더""입니다.

먼저, 저희 패스오더 서비스를 이용해주셔서 감사드리며 좋은 리뷰 남겨주셔서 감사드립니다.

앞으로도 복이 패써님의 시간절약을 하는데 도움이 될 수 있는 패스오더 서비스가 되기 위해 노력하겠습니다.

다시 한 번 저희 패스오더 서비스를 이용해주셔서 감사드립니다.

패스오더 드림"
"https://play-lh.googleusercontent.com/a-/ALV-UjUobXIbcTrgLI6B18aWGfTE41Qj5eE1MfNympPjDsx3pLLALV2m=s32-rw","junhee song","2022년 2월 8일","바쁜 일과로 줄서서 주문하고 기다리는 시간이 많이 걸렸는데 패스로주문하니 너무 편하고 좋네요","PaytaLab","2022년 2월 10일","안녕하세요 junhee song 패써님. 패써지원팀 고민경입니다.

주문해두고, 빠르게 받아오기만 하면 되는 패스오더! 저도 주변 지인들에게 추천하고 나서 한 번도 불편하다는 평가를 들은 적은 없는 듯 합니다!
물론 더 많은 분들이 사용해주셨을 때 ""편하고 좋다"" 라는 평가를 받을 수 있도록 계속해서 발전해 나가야만 하겠지요:) 힘을 주셔서 감사합니다.

아직은 성장 중인 서비스여서 미숙한 부분도 많지만 패써님들이 남겨주시는 소중한 피드백들을 발판 삼아 계속해서 나아가고자 합니다.
모든 분이 만족할 수 있는 서비스가 되는 그 날까지요:) 오늘 하루도 좋은 시간 되시길 소망합니다.

.-패스오더, 패써지원팀 고민경 드림"
"https://play-lh.googleusercontent.com/a/ACg8ocL-cDq0VS8mk-D2M7qGcy_FjUfFZKvhyyF--rlc_t0u-XmC=s32-rw-mo","뉴뉴","2023년 4월 18일","가맹점이 많아서 좋네요 어떤어플은 근처 커피점 한군데만 제휴되있는데 이건 가맹점이 훨씬많아요","","",""
"https://play-lh.googleusercontent.com/a/ACg8ocLnRw3A38igh6tVyyJ5Gzu_y6hk_3Q0sEnaxtrEDU9n8_v7Pw=s32-rw-mo","곽재우","2022년 11월 28일","편한거같아요 회사위치상 미리 주문하면 시간도 절약되고 좋겠다싶었는데 마침 있네요!","","",""
"https://play-lh.googleusercontent.com/a/ACg8ocKRIuFdVRY9NM1AN4MqrVyKlWxu3yaVCkGc6qgQ2RdN-gqoSw=s32-rw-mo","Hyunae Lee","2022년 8월 24일","아이들이 학원갔다가 근처 에서 음료수 먹고싶어할때 집에서 주문해서 픽업할수있게하니 편리하더라구요~","","",""
"https://play-lh.googleusercontent.com/a/ACg8ocJTUy6HNz9_BdN_kBt6UWIhNe3G1Il21cVD5KpZxqY1UxBqyw=s32-rw-mo","kk k","2023년 4월 15일","넘넘편해요 집앞에 있는 카페에서 항상 테이크아웃으로 사먹는데 집에서 주문하고 가면 점심시간에 줄서지않아도 바로받을수있어요.","","",""
"https://play-lh.googleusercontent.com/a-/ALV-UjUKHVJ40te_Y3qzcwgXbTyPhBZJBKbHrKEcy9zMVu5598IxzEnCWg=s32-rw","미니","2023년 1월 5일","걸어가면서 미리 주문하고가서 바로 테이크아웃 할 수 있어 너무 편한거 같아요~^^b","","",""
"https://play-lh.googleusercontent.com/a-/ALV-UjXQqNXVTU_Dx6ceqMWpRgyygDP8qwKee71MsMcoRKhz8gxt-y4A=s32-rw","최기철","2024년 1월 9일","가게에 손님이 많아도 기다리지 않고 바로 주문한 음료를 받을수 있어서 너무 좋네요","","",""
"https://play-lh.googleusercontent.com/a-/ALV-UjXs8oTU-dqkgfozqS0oBdT_829i3ONNGiD78cJ2TuGjBKVf1FORTw=s32-rw","뉸뉴냔냐아","2023년 9월 16일","저는 죠았씁니다! 쿠폰으로 다양한 지점을 경험하고 사용할수있어 좋았어여","","",""
"https://play-lh.googleusercontent.com/a-/ALV-UjUu_FFqtKtF0vnrJqvO9e86Rur3sS0ZVOm_iHPL3G04f5LZgXI=s32-rw","서현태","2023년 12월 7일","다좋은대. 기존에있던 포인트가연동이않되서다소아쉽내요","PaytaLab","2023년 12월 8일","안녕하세요, 서현태 패써님 패스오더입니다.

간편한 주문 앱 패스오더를 잘 이용해 주셔서 너무 감사합니다! 패스오더 매장 적립 기능의 경우 현재는 앱 주문 시에 한해 적립되며, 타 적립 시스템 연동은 불가한 점 양해 부탁드립니다.
다만, 조금 아쉽다고 말씀해 주신 점도 고려하여 해소할 수 있는 방안과 개선점에 대해서도 고민하고 업데이트해 나갈 수 있도록 하겠습니다. 그 외에도 이용 관련 문의 및 불편사항 등은 언제든 말씀 부탁드리며, 항상 귀 기울여 발전해 나가는 패스오더가 되겠습니다. 추운 날씨 감기 조심하시고 즐거운 금요일 보내세요. 감사합니다 :)

-패스오더 드림"
"https://play-lh.googleusercontent.com/a/ACg8ocJx_rFU0YhA8tcG0hJhYMLYikjbmQoDGAoeIWwABgFqJqDYbA=s32-rw-mo","D.Y Group","2023년 12월 12일","많은 이벤트 덕에 아주 잘 사용하고 있어요.최고의 앱! 번창하세요~~~^^","","",""
"https://play-lh.googleusercontent.com/a-/ALV-UjVriH93dibt3AxtoiWJYWLG9eXmRxhq6gIn3KShU1OvM1zGpQ=s32-rw","정병문","2023년 10월 4일","출근전에 주로 사용합니다 생각보다 쿠폰도 다른카페 시스템보다 빨리 모이는것 같기도 하고 좋아요","","",""
"https://play-lh.googleusercontent.com/a/ACg8ocJ1DUYz4WUlgXEdW3DyV8cZwf1scBeCw5hA2bXV0mhza54zHA=s32-rw-mo","이윤정","2023년 11월 27일","제일 처음 사용할때보다 차츰차츰 이용하는데 불편했던점이 개선되는거 같아 아주 잘 애용하고 있습니당~~","","",""
"https://play-lh.googleusercontent.com/a-/ALV-UjXvsYK4qaMTBKQsXVumAv02x1wWl45ANgbahr53FpAOEtqLbLPuWw=s32-rw","송규태","2023년 12월 29일","어디 가기전 미리 편리하게 주문결재 할수있어서 너무편합니다^^고맙습니다~","PaytaLab","2024년 1월 4일","안녕하세요, 송규태 패써님 패스오더입니다.

패스오더를 잘 이용해 주셔서 저희가 더 감사합니다! 패스오더를 이용하면 주문부터 결제, 적립까지 모두 한 번에 해결할 수 있어 정말 편리하죠! 지금 남겨주신 이 마음이 오래오래 이어질 수 있도록 저희가 더더 잘하겠습니다:)
패써님의 삶의 질 향상을 UP 시켜드릴 수 있도록 항상 패써님의 의견 하나하나를 놓치지 않고 귀담아듣기 위해 노력하고 있어요. 혹시라도 궁금한 점이나 불편사항 등은 언제든 말씀해 주시면 빠르게 안내드리겠습니다. 추운 날씨 감기 조심하시고 오늘도 기분 좋은 하루 보내세요. 감사합니다!

-패스오더 드림"
"https://play-lh.googleusercontent.com/a/ACg8ocKkLaywdeDFSjtCzpoIxKbo4UcfdO2l_OH_5IuTTM0ZavgvGw=s32-rw-mo","한상근","2021년 10월 31일","앱을 유용하게 잘 쓰고 있어요 아쉬운건 카페 외 음식점 추가했으면 좋겠네요","PaytaLab","2021년 11월 2일","안녕하세요 한상근 패써님. 패써지원팀 고민경입니다.

‘필요한 사람에게 적재적소의 서비스를 제공해드리고 있다!’는 뿌듯함으로 어깨가 절로 들썩이는 리뷰를 남겨주셨네요.
기다림 없는 간편한, 비대면 시대의 필수 어플 패스오더를 이용해주셔서 저희가 더 감사하다는 인사를 드립니다.

“이런 기능도 있으면 좋을텐데”, “추가되면 참 좋겠다” 하는 목소리들도 언제든 환영입니다! 지금은 '카페' 중심으로 서비스를 제공해드리고 있지만 추후 업종을 확대해나갈 계획도 있습니다.

더디더라도 반영해나가는 모습을 위해 열심히 달리는 중입니다! 오늘 하루도 행복한 시간 보내시길 바랍니다. 감사합니다!

-패스오더, 패써지원팀 고민경 드림"
"https://play-lh.googleusercontent.com/a-/ALV-UjVceD2x4nhwpD6tLsyqtAUe5xB57jjfnw-65wXZ7sH9KeNXo76D=s32-rw","이혜승","2022년 4월 14일","주문도 편하고 픽업도 바로 되서 기다리지도 않아서 너무 좋네요ㅋ","PaytaLab","2022년 4월 14일","안녕하세요 이혜승 패써님. 패써지원팀 고민경입니다.

패스오더도 이혜승 패써님을 좋아합니다:) 저희 서비스를 이용해 주시고, 리뷰까지 남겨주셔서 정말 감사드립니다. 패스오더의 빠르게 픽업할 수 있는 부분이 가장 좋게 느껴지셨을까요? 모든 면에서 패써님께 만족감을 드릴 수 있도록 더욱 노력하는 패스오더가 되겠습니다. 앞으로도 기다림 없이, 미리 주문하고 바로 픽업 하는 편리한 패스오더 많이 사랑해주시고, 관심과 애정으로 지켜봐 주셨으면 감사드리겠습니다.

행복한 한 주 보내시고 다가올 주말을 상상하며 신나게 하루 채워 가셨으면 좋겠어요! 감사합니다.

-패스오더, 패써지원팀 고민경 드림"
"https://play-lh.googleusercontent.com/a/ACg8ocJFG9583B6aCDT1p9yB__1Y-N2eDm1c9R_16D6UDlTFFPaA=s32-rw-mo","차니땡","2022년 8월 21일","매우 편하고 좋아요 다른매장들도 패스오더 했으면 좋겠네요","","",""
"https://play-lh.googleusercontent.com/a-/ALV-UjWkOXlDKil4P-xgYqncygcpLNskN7jD5K_EphtQgWuak7Heq04=s32-rw","Rosaire,無生月","2023년 5월 8일","오류가너무많아요 번호인증하래서 했더니 앱켤때마다 인증창나오고 로긴창나오고","PaytaLab","2023년 5월 9일","안녕하세요, Rosaire,無生月 패써님! 패스오더입니다!

먼저 패스오더 이용에 불편함을 안겨 드린 것 같아 죄송한 마음입니다.

앱 사용 시 지속적으로 로그아웃 된다는 말씀이실까요?
또, 오류가 많다고 말씀해 주셨는데 해당 내용만으로는 정확하게 어떤 오류인지 파악이 어렵다 보니ㅠㅠ 번거로우시겠지만 앱 하단 [패스오더와 더 친해지기>문의하기]로 글 남겨 주신다면 보다 더 정확하게 파악 후 안내드리고 개선해 나가겠습니다.

그 외 서비스 관련 문의나 불편 사항은 언제든 [문의하기]로 글 남겨 주시길 바라며, 귀 기울여 불편함 없는 좋은 서비스 제공을 위해 노력하는 패스오더가 되겠습니다. 감사합니다!

-패스오더 드림"
"https://play-lh.googleusercontent.com/a-/ALV-UjVlPU6DM4ty9tmrAbb2Ja5rxe-bV_6BYGcP_l246a4qKiEMgrgaSg=s32-rw","짱윤","2023년 5월 5일","너무편하고 사용하기좋아요~~쿠폰이벤트도 많이만들어 주세요.","","",""
"https://play-lh.googleusercontent.com/a-/ALV-UjXUG9cLBrk8M3sitjaSMX8oEhq9TquI919WiLH5zBeQmt_HOydy=s32-rw","Saram Busan","2022년 12월 26일","주변검색이 매우 편하고 도착 시간 예정시간 정할 수 있어서 좋네요","","",""
"https://play-lh.googleusercontent.com/a-/ALV-UjUNvKEfJibMoJ6z7IdOnyxlveFujeYATFIWnAf4751XY3psftM=s32-rw","김민지","2022년 1월 19일","미리주문해서 바로 픽업가능해서 편하고 너무 좋아요","PaytaLab","2022년 1월 25일","안녕하세요 김민지 패써님. 패써지원팀 고민경입니다.

'너무'라는 강조어에 절로 흐뭇해지네요. 카페에서 기다리지 않고, 미리 주문-결제로 맛있는 커피를 드실 수 있는 스마트한 패스오더 라이프를 즐기고 계시는걸까요:)
추운 겨울 날씨에는 더더욱 유용하게 느껴지실 거라고 믿습니다. 많은 패써님들이 보내주시는 사랑과 관심에 불편함을 안겨드리지 않도록 더욱 좋은 서비스로 발전하는 패스오더가 되겠습니다.

달달한 꿀 같은 리뷰 남겨주셔서 다시 한 번 감사드려요! 화요일 조금만 더 힘내세요!

-패스오더, 패써지원팀 고민경 드림"
"https://play-lh.googleusercontent.com/a/ACg8ocJB_uJXP9SUm_9GadUOt4Q-d5N1SVFvbZENl7SZMxonsrGGcw=s32-rw-mo","오상훈","2022년 10월 26일","처음써보는게 주문과 결재가 편리하네요","","",""
"https://play-lh.googleusercontent.com/a/ACg8ocLjVaxcN0oRwOazYKb3CUofBAfvwQcoWGGdRSgMDwM1j3tFxg=s32-rw-mo","성명환","2023년 5월 3일","100원 아메리카노 때문에 이용 했는데 1일1커피를 하시는 분이라면 패스오더가 더 금전적으로 이득이지 싶네요","","",""
"https://play-lh.googleusercontent.com/a/ACg8ocKH9DS4JU9fyYRImXtu7iBj6l2q3I1HTeu9xkYsQDszfAJXig=s32-rw-mo","nak jun choi","2023년 11월 11일","걸아가면서 시키는거 너무좋다 확실시 덜기다린다","PaytaLab","2023년 11월 16일","안녕하세요, nak jun choi 패써님 패스오더입니다.

바쁜 일상 속에서 패스오더가 편리함을 드릴 수 있다니 뿌듯하면서도 책임감이 생기는 것만 같습니다! 더욱 든든한 도우미가 되어드릴 수 있도록, 멈추지 않고 계속해서 발전해 나가겠습니다. 편하고, 쉽고, 빠른 일상 생활에서 언제나 시간 절약 책임질 수 있는 패스오더! 성장하는 모습도 꼭 지켜봐 주시고 오래오래 함께 해주세요:) 패써님 주변에 더 많은 매장도 도입되어 맛집도 많이 소개해 드릴 수 있도록 더 달려보겠습니다~! 벌써 한 주가 마무리되어 가는 금요일이네요. 오늘만 지나면 즐거운 주말이 기다리고 있으니 화이팅입니다! 감사합니다 :)

-패스오더 드림"
"https://play-lh.googleusercontent.com/a/ACg8ocLdr9FSc0u5f0qAOToA5Piw1TLq1KPuP09byg3N2SEQXVZD2Q=s32-rw-mo","기현","2021년 5월 24일","가까운곳에 이용할수있는 매장이 거의없어 아쉽네요","PaytaLab","2021년 5월 25일","안녕하세요 기현 패써님. 패써지원팀 고민경입니다.

유용하게 이용 가능한 패스오더 서비스와 함께 해주심에 너무나 감사드린다는 말씀드립니다.
많은 매장에 계약되어 있지 않아서 아쉽다는 패써님들의 목소리에 부응하기 위해 하나라도 더 많은 매장이 도입될 수 있도록 저희 패스오더 팀이 열심히 뛰고 계시답니다.
전국의 모든 매장에서 패스오더를 만나는 그날까지! 함께해주셨으면 좋겠어요:)
퇴근 후 만끽할 휴식시간을 고대하며. 오늘 남은 하루 마무리 잘하셨으면 좋겠습니다~!

-패스오더, 패써지원팀 고민경 드림"
"https://play-lh.googleusercontent.com/a-/ALV-UjXfOL_SNZ4mqfeIC7m2ejxJZRe1ijfedD1Yv9lLXyhgM4NVdm9S=s32-rw","김태경","2025년 9월 9일","좋은데 같이적립 기능이 사라진 건지 어느 날부터 안돼서 좀 아쉽네요ㅠㅠ","PaytaLab","2025년 9월 17일","안녕하세요, 김태경 패써님! 패스오더입니다.

먼저, 패스오더를 이용해주시고 소중한 의견 남겨주셔서 감사합니다😊

아쉽게도 현재는 원하는 친구에게 추가 적립을 선물할 수 있었던 혜택은 지원이 종료된 점 양해 부탁드립니다. 대신 이번에 새롭게 리뉴얼 된 같이주문 기능에 대해 혹시 알고 계실까요~?

친구와 같이주문 기능을 이용해 주문하시면, 할인 쿠폰을 제공해드리는 프로모션도 상시 진행 중이니 많이 활용해주시면 감사하겠습니다. 앱 홈 화면 같이주문 가로배너에서 보다 자세한 내용을 확인하실 수 있으며, 더 궁금하신 점은 언제든 말씀해주세요. 감사합니다 :)

-패스오더 드림"
"https://play-lh.googleusercontent.com/a/ACg8ocJlkLWAnq_lxKdhQCdu4CeZOlnrVT5ORypiX94pcamF5c58Zw=s32-rw-mo","박수림","2023년 11월 14일","편해용다른앱보다편하고 가까운곳 보기쉬워서좋네요","","",""
"https://play-lh.googleusercontent.com/a-/ALV-UjVgZw295t3Q7mz83oODSb-jVkmH1F05uZ7-yXPZD3NJVIuKH4BG=s32-rw","강석원","2023년 9월 22일","서민의 티타임을 위한 최고의 앱이 아닐까.. 감히 이런 생각까지 드네요! 최고에요!!!♡","PaytaLab","2023년 9월 26일","안녕하세요, 강석원패써님 패스오더입니다.

티타임을 위한 최고의 앱이라니...! 서비스를 이용해 주시는 것만으로도 감사한데 이렇게 칭찬 가득한 리뷰를 보니 정말 감동입니다:) 지금 남겨 주신 이 마음이 오래오래 유지될 수 있도록! 안주하지 않고 무한한 편리함을 제공해 드릴 수 있도록! 더욱 노력하는 패스오더가 되겠습니다.

그리고 이후라도 서비스 관련 문의 및 피드백 사항도 언제든 말씀해 주세요. 패써님들의 피드백은 언제든 적극 환영이며, 귀 기울여 성장해 나가겠습니다.

이틀 뒤면 즐거운 연휴네요:)
다가오는 추석 연휴도 사랑하는 가족, 친구분들과 함께 행복한 명절 되시길 바랍니다. 감사합니다:)

-패스오더 드림"
"https://play-lh.googleusercontent.com/a-/ALV-UjXGD8TdbbX0pmI6WObTR_OgBIGN8VRnLeF7SVdeSTfTiwILDRig=s32-rw","김만일","2023년 7월 27일","혜택도 많고 사용하기에 어렵지 않네요 진작 쓸걸그랬네요 😢","","",""
"https://play-lh.googleusercontent.com/a/ACg8ocI7Mg_9qhTE0fyN1wt2p_h73JnqiwvuMWdalXaAAwlfg0rOow=s32-rw-mo","노형태","2022년 5월 20일","편하고 좋아요 쿠폰 유용하게 잘쓰고 있습니다","PaytaLab","2022년 6월 3일","안녕하세요 노형태 패써님, 패써지원팀 손지혜입니다.

저희 이벤트에 참여하여 쿠폰을 수령하여 잘 사용해주시는 것 같아 정말 기쁩니다! 패써님들께서 저희 서비스 이용에 만족감을 느끼셨다고 말씀할때면 얼마나 뿌듯한지 몰라요:)

계속해서 기능을 업데이트하고, 다양한 이벤트도 준비하고 있으니 앞으로도 패스오더와 함께 해주셨으면 합니다.

시간이 정말 빠르게 지나가는 것 같아요 벌써 2022년의 반이 지나갔습니다. 남은 날도 행복한 일만 가득하시길 소망합니다. 감사합니다.

-패스오더, 패써지원팀 손지혜 드림"
